Name,Email,Phone,Country,Website
Eurogulf Transformer Fze,yusuf@eurogulftransformers.com,00971 6526116,United Arab Emirates,https://eurogulftransformers.com/
Europower Enerji Ve Otomasyon Teknolojileri San. Ve Tic. A.S,can.keles@europowerenerji.com.tr,+90 3128154880,Turkiye,https://www.europowerenerji.com.tr/
EUROSMC,andres@eurosmc.com,+34 918 498 980,Spain,https://www.smcint.com/
"EverExceed Industrial Co.,Ltd",Marketing@everexceed.com,+86 755 21638065,China,https://www.everexceed.com/
"EVOL (Tianjin) Import and Export Co., Ltd.",amy@evolpower.cn,+86 15522747201,China,https://www.evol-power.com/
Ex-Con-East GmbH,jan.haufe@ex-con-east.com,,Germany,
Exide Industries Ltd,shubhankarp@exide.co.in,+91 3323023645,India,https://www.exideindustries.com/
EZT Elektrik Sanayi ÄÃÂÃÂ°malat ve Tic. Ltd. ÅÅÃÂ¾t,burakcebeci@esitelectric.com,+90 216 420 4601,Turkiye,
"Fabricacion De Material Electrico, S.A.-(FAMATEL S.A.)",o.marco@famatel.com,0034 938634640,Spain,https://www.famatel.com/es/
FaMe Software GmbH,m.neumann@fame-online.de,+49 4207911012,Germany,
Fandis Spa,lia.giovanella@fandis.com,0039 321963232,Italy,https://www.fandis.com/
"Fanox Electronic, S.L.",p.martinez@fanox.com,0034 944711409,Spain,https://www.fanox.com/
FANTON,s.scandilori@fanton.com,+39 049 959 7911,Italy,https://www.fanton.com/
Farad Trading Company,sadiq@farad.sa,+966500092611,Saudi Arabia,
"Farady Electric Co., Ltd",sale@farady.cn,+86 57761722510,China,https://www.farady-electric.com/
Federazione Anie,internazionale@anie.it,+39 0232641,Italy,https://anie.it/
FELICITY SOLAR TRADING L.L.C,hud@felicitysolar.com,00971 586262957,United Arab Emirates,
FIAMM Energy Technology S.p.A.,stella.bottegal@fiamm.com,+39 0444709311,Italy,https://www.fiamm.com/
Fibox GmbH,pawel.wielinski@fibox.com,+49 5731 86946-0,Germany,https://www.fibox.com/
"FICO HITECH Pvt. Ltd,",abdulaziz@ficohitech.com,92-4235788040,Pakistan,
FIMUSKRAFT,ahti.koivunen@netikka.fi,+358 50 559 3091,Finland,
Finntrepo Ltd,jouni.maaranto@trepo.fi,00358 105834083,Finland,https://www.finntrepo.fi/
Flexicon Limited,colin.legg@flexicon.uk.com,+44 1675 466 900,United Kingdom,https://www.flexicon.uk.com/
FLIR Systems Trading Belgium bvba,Sarah.Wilson@teledyneflir.com,0044 7843266636,Belgium,https://www.flir.com/
Flowbox,jana.stastna@flowbox.com,420725042490,Czech Republic,
FLOWBOX s.r.o.,jana.stastna@flowbox.com,00420 725042490,Czech Republic,
FLOWBOX s.r.o.,jana.stastna@flowbox.com,+420 725042490,Czech Republic,
Fluke Europe B.V.,helen.hoy@fluke.com,+31 402675138,Netherlands,https://www.fluke.com/en
"Flying Motors (Shenzhen) Co., Ltd.",sales@flyingmotors.net,+86 15692159197,China,https://n/A
FMT Group Enerji,assistant@fmtgroup.al,+355 697025033,Turkiye,
"Focus Technology Co., Ltd.",zengyamin@focuschina.com,0086 2566677777,China,
"Foshan Xtra Power Technology Co., LTD",sales@xtrapower.com.cn,+86 18823151718,China,
FPT Industrial,carlotta.merlo@fptindustrial.com,0066 922575036,Italy,https://www.fptindustrial.com/global/en
FRAKO Kondensatoren- und Anlagenbau GmbH,ehret@frako.de,0049 7641453-0,Germany,https://www.frako.com/
Franklin Electric Grid Solutions,heather.stangeland@fele.com,+1 6088388786,United States,http://en.bo-ying.net/
FRANKLIN France,amlefort@indelec.com,+33 638571887,France,
Fritz Driescher KG Spezialfabrik fur Elektrizitätswerksbedarf GmbH & Co.,a.driescher@driescher-wegberg.de,49243481402,Germany,
FTC SWITCHGEAR PVT. LTD.,ftcindia@gmail.com,+91 9999022077,India,https://www.ftcswitchgear.com/
FUSELEC,info@fuselec.com,+91 9910008860,India,https://www.fuselec.com/
Future Energy Fabrication For Electric - FEFA Power Solutions,bdm@fefa-power.com,+1 7788009262,Canada,https://www.fefa-power.com/
G&W Electric,kdepooter@gwelec.com,001 7089260982,United States,https://www.gwelectric.com/
"Gacia Electrical Appliance Co, Ltd",lee@gacia.com.cn,0086 57757575306,China,https://www.gacia.com.cn/
GAMO,zuzana.omelkova@gamo.sk,+421905661551,Slovakia,
GANZ Transformers and Electric RM.,anna.szondi@ganzelectric.com,+36 307917011,Hungary,
GAZ GROUP,,+7 (4852) 58-81-20,Russian Federation,https://gazglobal.com/
GAZ Middle East Industry LCC,sales@gaz-gmbh.com,+966 138493636,Saudi Arabia,https://www.gaz-gmbh.com/
GCC Electrical Testing Laboratories,ali.asiri@gccelab.com,+966 138689800,Saudi Arabia,
GEMINIANI SRL,mgeminiani@geminiani.com,0039 5359011,Italy,
GENAQ,info@genaq.com,+34957625712,Spain,https://www.genaq.com/
General Fan Company (Pvt) Ltd.,,+92-53-3707501 - 4,Pakistan,https://www.gfcfans.com/
General Industrial Controls Private Limited,srikanth.acharya@gicindia.com,0091 2030 680031,India,https://www.gicindia.com/
"Generazione Distribuita - Motori, Componenti e Gruppi Elettrogeni",affari.internazionali@anima.it,+39 02 45418500,Italy,https://www.generazionedistribuita.net/
Genus Innovation Limited,anup.srivastava@genusinnovation.com,+91-9873138695,India,https://www.genusinnovation.com/
German Federal Ministry for Economic Affairs and Climate Action,carolin.hoffmann@expotecgmbh.de,+49 1888 6150,Germany,https://www.bmwk.de/
Geros Srl,diegogeremia@geros.it,0039 42485015,Italy,http://www.geros.it/en-gb/
Gerpa Elektrik Tekstil San Ve Tic. A.S,denizakcin@gerpaas.com,,Turkiye,
Ges Genel Elektrik Sistemleri San. Ve Tic. Ltd. Sti.,info@gpano.com,+90 (212) 549 75 60,Turkiye,https://www.gpano.com/
Getra Power S.P.A.,infoline@getra.it,+393484217986,Italy,https://www.getra.it/
GEWISS Gulf,leilamarie.ponce@gewiss.com,+971 586430184,United Arab Emirates,
GFM Fotovoltaica,jbustos@gfm.es,+34925195784,Spain,
GG Valves Pvt. Ltd,info@ggvalves.com,+91 2942490223,India,
Ghaddar Machinery Co.,mhd@ghaddar.com,00961 7220000,Lebanon,https://www.ghaddar.com/
Giant Reinforced Plastic Ind LLC,manjula@grpindustries.com,00971 65574841,United Arab Emirates,https://www.grpindustries.com/
Gimax srl,cei@gimaxsrl.it,+39 584 81742,Italy,https://www.gimaxsrl.it/
Giovenzana International B.V.,ammar@giovenzana.com,+971 4 887 0788,United Arab Emirates,https://www.giovenzana.com/
GLOBAL POWER SOURCE FZC,balaji.naidu@gpsgc.com,+971 503439297,United Arab Emirates,
GNB Batteries Trading MEA LLC,adnan.eid@exidegroup.com,971 (04) 442 5606,United Arab Emirates,https://www.exidegroup.com/
Gogate Electrosystems (Nasik) Pvt Ltd,tarun.kalia@gogate.in,0091 2536614740,India,https://gogate.in/
GreatWhite Global Pvt Ltd,rakesh.d@great-white.in,0091 2230036565,India,https://great-white.in/
Green Power Systems Srl,giovanni@greenpowergen.com,0039 722726411,Italy,https://www.greenpowergen.com/
Greenlee,damir.simunac@emerson.com,,United States,
Greenwood-Power GmbH,thomas.juschicz@greenwood-power.at,+43 6766714404,Austria,
Gruppo Bonomi,carlotta.dalpozzo@gruppo-bonomi.com,0039 309650304,Italy,
GRUPPO ENERGIA - POWER MANAGEMENT EQUIPMENT,sales@gruppoenergia.it,+39 030 320 301,Italy,https://www.gruppoenergia.com/
GS Yuasa Battery France,yves.bonnin@gs-yuasa.fr,0033 474959090,France,http://www.gs-yuasaeurope.com/
"GuangDong Aokly Group Co.,Ltd",sales@aokly-battery.com,+86 18578645468,China,https://www.aokly-battery.com/
"Guangdong Futina Electical Co., Ltd.",export11@futina.com,+86 135 4364 0999,China,https://www.futinaswitch.com/
"GUANGDONG PATTERN NEW ENERGY CO.,LTD",Kathleen@patternbattery.com,+86 755 86524336,China,https://www.patternbattery.com/
"Guangdong Sako New Energy Co., Ltd",szsales8@sako.com.cn,+86 75527498765,China,
Guangdong Shunde Longtop Precision Manufacturing Co.Ltd.,kingsley@longtop-metal.com,0086 75725668111,China,http://www.longtop-metal.com/
"Guangdong Techfine Electronic Co.,Ltd",Ken@techfinepower.com,+86 757 8262 4113,China,https://www.techfinepower.com/
"Guangzhou Guangya International Lighting Technology Co.,Ltd.",1274058742@qq.com,86-13825123557,China,https://www.coll.net.cn/
"Guangzhou MPC Power International Co., Ltd.",305411925@qq.com,+86 20 8780 2815,China,http://gzmpcpower.com/
"Guangzhou SAT Infrared Technology Co.,Ltd",arvin.zeng@sat.com.cn,+86 13268018683,China,https://www.sat.com.cn/
"Gulf Technical Industrial Co, (GEPICO)",alaa@gepico.com,+962 795528516,Jordan,
Guney Celik Has Dem Mam San Tic A.S.,a.erel@guneycelik.com.tr,+90 3223945030,Turkiye,https://www.guneycelik.com.tr/
Gupta Power Infrastructure Limited,shailendra.singh@guptapower.com,0091 6742313898,India,https://www.guptapower.com/
GUVEN ELEKTRIK ELEKTRONIK LTD. STI,ali@guvenelektrik.com.tr,0090 2124850540,Turkiye,https://guvenelektrik.com.tr/
H. Heinz Messwiderstande GmbH,buchhaltung@messwiderstaende.de,,Germany,
HAEFELY AG - MGC MOSER GLASER - PFIFFNER,sales@haefely.com,+41 61 373 41 11,Switzerland,https://www.haefely.com/
Hammond Power Solutions,sales@hammondpowersolutions.com,001 5198222441,Canada,https://www.hammondpowersolutions.com/
"Hangzhou Haile Electrical CO., Ltd",jack@jbe-electrical.com,+86 571 63597588,China,https://www.haile.cn.alibaba.com/
Haris Al Afaq,reshma@haris.com,00971 42734005,United Arab Emirates,https://www.haris.ae/index.html
Hascelik Kablo San. Tic. A.S,honus@hascelik.com.tr,0090 3523211555,Turkiye,https://kablo.hascelik.com.tr/
HAUK & SASKO Ingenieurgesellschaft mbH,beate.buerkle@hauk-sasko.de,,Germany,
HBL Power Systems Ltd,syed.junaid@hbl.in,0091 4066167777 Ext. 304,India,https://www.hbl.in/
"Heavy Power Co.,Ltd.",irene.chang@heavypower.com.tw,+886 222983178,"Taiwan, China",
"Hebei Goodfix Industrial Co.,Ltd",jessy@fixdex.com,0086 18002570677,China,https://www.fixdex.com/
"HEBEI TUOFA TELECOMMUNICATION AND ELECTRIC EQUIPMENT MANUFACTURING CO., LTD.",tuofa@hbtuofa.com,,China,https://www.nkt.com/
"Hebei Yongguang Line Equipment Co., Ltd",antony@yp163.net,+86 13120713365,China,
Heinrich Georg GmbH,louis.leon.neff@georg.com,+49 2732 7790,Germany,https://www.georg.com/en/
HELU KABEL GmbH,sarah.atkin@helukabel.de,,Germany,
"Henan Qingzhou Cable Co.,Ltd",info@qzcablegroup.com,+86 18625503172,China,https://www.qingzhou-cable.com/
"Henan Quanxiang Industrial Co., Ltd.",tina.zheng@quanalf.com,+86 37186588656,China,https://www.quanalf.com/
"Henan ZMS Cable Import and Export Co.,Ltd",info@zmscable.cn,+86 0371 6782 9333,China,https://www.zmscable.com/
"Hengtong Optic-Electric Co., Ltd",ompd@htgd.com.cn,+86 51263957797,China,https://www.hengtonggroup.com/en
Hensel Electric FZE,rajesh@hensel-electric.ae,+971 6 574 7547,United Arab Emirates,https://www.hensel-electric.ae/
HEPA HUNGARIAN EXPORT PROMOTION AGENCY,edina.varga@hepa.hu,+36 19222600,Hungary,
Hering - VPT GmbH,info@hering-vpt.de,0049 98318834666,Germany,http://www.hering-vpt.com/
Hermes Elektrik Pazarlama Ltd. Sti.,gm@hermesarthing.com,,Turkiye,
High Voltage Inc,ekirby@hvinc.com,001 5183293275,United States,https://hvinc.com/contact/
Hightension Electrical Equipments Pvt Ltd,intl@hightension.in,0091 83326510209,India,https://www.hightension.in/
HIGHVOLT Pruftechnik Dresden Gmb,s.kretzschmar@highvolt.com,0049 3518425600,Germany,
Himec Industries,basu.himec@gmail.com,+36 307917011,Hungary,
Himel International Fze,shobha.bajaj@himel.com,+971 4 808 7117,United Arab Emirates,https://www.himel.com/
Hioki E.E. Corporation,rose@hiokimea.ae,+971 42323400,United Arab Emirates,https://www.hioki.com/
"HJÂ PolymerÂ ChinaÂ Co.,Â Ltd.",sale@hjcheme.com,+86 051086539998,China,https://www.hjcheme.com/
HMS Industrial Networks AB,dasu@hms.se,0044 7384510520,Sweden,
HOBIEX OTOMOTIV A.S,mehmet.bulut@hobiex.com,00902127343731,Turkiye,https://www.hobiex.com/
Hobiex Otomotiv A.S,mehmet.bulut@hobiex.com,+90 2125493496,Turkiye,
HOBUT (Howard Butler Ltd),paul.collins@hobut.co.uk,+44 1922 640 003,United Kingdom,https://www.hobut.co.uk/
"HOGN Electrical Group Co.,Ltd.",hogn-sale02@ihogn.com,0086 57762668266,China,https://www.ihogn.com/
HOPPECKE Batterien GmbH & Co.KG,Justin.Ingham@hoppecke.pl,+97150 4538015,Germany,https://www.hoppecke.com/
HPL Electric and Power Ltd.,rakeshjuneja@hplindia.com,0091 1204656300,India,https://www.hplindia.com/
HT ITALIA S.R.L.,c.balestrazzi@ht-instruments.com,0039 0546621002,Italy,https://www.ht-instruments.com/en/
"Huanyu Group Co., Ltd.",austin@huyu.com.cn,+86 13506552522,China,http://www.huanyu-electric.com/
"Huanyu Group Co., Ltd.",danqimin@huyu.com.cn,+8657762873876,China,
"Huanyu High Tech. Co., Ltd",sherly@huyu.com.cn,0086 5775710810,China,https://www.huyu-electric.com/
HVR Industries Pvt Ltd,vkbansal@hvrind.com,+91 9650746669,India,https://www.nkt.com/
HVR International GmbH,ralf.vespermann@hvrint.de,0049 91137658620,Germany,https://www.hvrint.de/
HYBNRG,philipp@hybnrg.com,+43 676 4312674,Austria,
Hyphen Cables Pvt. Ltd.,rahul@hyphencables.com,0091 1127782910,India,https://www.hyphencables.com/
IAC Electricals Pvt. Ltd.,kemparaju@iacelectricals.com,0091 913324858817,India,https://iacelectricals.com/
Ibiza Power Energy Systems LLC,thrbusiness97@gmail.com,,United Arab Emirates,
ICE Italian Trade Agency,a.ontano@ice.it,00971 44345280,United Arab Emirates,
ICE SAS,marketing@icelec.com,+33 141797600,France,https://www.icelec.com/
IDE ELECTRIC S.L.,beatriz@ide.es,,Spain,
IDE SYSTEMS,bhavisha.fatania@idesystems.co.uk,0044 1543 574 111,United Kingdom,https://www.idesystems.co.uk/
Idea Makina Imalat San Ve Tic Ltd Sti,elif.cubuklu@ideamakina.com.tr,0090 2163134277,Turkiye,https://www.ideamakina.com/
Ideal Industries,brett.smyth@idealindustries.com,+44 7790827680,United Kingdom,
Ikon Aydinlatma Muh. Teknolojileri Imalat San. Tic. Ltd. Sti.,yasin@xn--ikonaydnlatma-99b.com.tr,,Turkiye,
Ilx Muhendislik Iml.Ith. Ihr. San. Ve Tic. Ltd. Sti.,export@ilx.com.tr,+90 216 4991106,Turkiye,https://www.ilx.com.tr/
IMEQUADRI DUESTELLE S.P.A.,cristina.oberti@imequadriduestelle.it,0039 0354184247,Italy,https://www.imequadriduestelle.it/
IMT Industrie Motoren Technologie GmbH,stephanie.maneval@imt-technologie.de,+49 8191 3311480,Germany,https://www.imt-technologie.de/
INDELEC,jmillon@indelec.com,+33 761584408,France,
Indlovu Enterprises,francois@undlovu.co.za,+27 834540768,South Africa,
INDTECH CAPACITORS INDIA,indtechcap@gmail.com,,India,
Industria Metaloquimica Kels,rubelkelen@kels.com.br,+55 1938279191,Brazil,https://www.kels.com.br/
INFOSEC UPS SYSTEM,ouairy@infosec.fr,0033 240761019,France,https://www.infosec-ups.com/en/
Innovative Insulators Company,abdullah@innovativeinsulators.com,00966 555815598,Saudi Arabia,https://www.innovativeinsulators.com/
Intercable Tools GmbH,export@intercable.com,+49 2191 37694-0,Germany,https://www.intercable.tools/
International Tube and Conduit Company Ltd.,imad@itcc-group.com,00966 122889198,Saudi Arabia,http://www.itcc-group.net/home.html
Interplast Co Ltd UAE,lawrence@interplast-uae.com,00971 65395577,United Arab Emirates,http://www.interplast-uae.com/
Intertek,meghna.mathews@intertek.com,00971 43178217,United Arab Emirates,https://www.intertek.com/
IPEC Limited,fandy.chang@ipec.co.uk,+44 1612 260 045,United Kingdom,https://www.ipec.co.uk/
Isildar Plastik Ve Aydinlatma.a.s.,info@isildar.eu,+90 2125495393,Turkiye,
Isotta Fraschini SPA,isottafraschini@isottafraschini.it,+39.080.534.5000,Italy,https://energy.isottafraschini.it/en/
ISST ELECTRICAL AND ELECTRONICS TRADING,h.salem@isst-smart.com,,United Arab Emirates,
ISTANBUL DEMIR VE DEMIR DISI METALLER IHRACATCILARI BIRLIGI,meltem.ozcan@immib.org.tr,0090 2124540000,Turkiye,https://turkishcopper365.com/
Istanbul Kilit Hirdavat Aks. San. Tic. Ve Paz. Ltd. Sti.,ergun.varlik@istanbulkilit.com,0090 2125498109,Turkiye,https://www.oskarlocks.com/
ITALIAN CABLE COMPANY S.P.A.,laura.castelli@icc.it,0039 0354493029,Italy,https://www.icc.it/
ITALWEBER S.P.A.,silvia@italweber.it,0039 0293977201,Italy,https://www.italweber.it/
J P Containers Ltd,gary@jpsil.co.uk,+44(0)1606331103,China,
J. Schneider Elektrotechnik GmbH,g.kutschki@j-schneider.de,0049 781206145,Germany,https://www.j-schneider.de/en
J&K INDUSTRIES,kalpesh.jnk@gmail.com,+91 9769073638,India,
Jainco Transmission Limited,despatch@jainco.net,+91 8100674958,India,
Janitza Electronics GmbH,beatrice.bader@janitza.de,0049 64419642539,Germany,https://www.janitza.com/
Jasco Electric Co. Ltd.,jascofuse@jasco.cn,+8613968770966,China,https://www.jasco.cn/
Jayachandran Industries (P) Ltd,sreeni@jcbattery.net,+91 7540013211,India,https://www.jcbattery.net/
JDIYAN INTERNATIONAL,jdiyan.sales@gmail.com,+971 543272773,United Arab Emirates,
Jeddah Cables Company,yghalayini@cables.energya.com,00966 126360770,Saudi Arabia,http://www.jeddah-cables.com/products/
JEF Engineering Services Middle East Limited,lingheswarr@jeftechno.com,+971 552447290,United Arab Emirates,
"Jiangsu Carrett Technology Co.,Ltd",wenlinfangkelly@jscarrett.com,+86 18651661134,China,https://www.jrkj2009.com/
"JIANGSU HUACHEN TRANSFORMER CO.,LTD.",bolton@hcbyq.com,+86 139 5211 3869,China,https://www.hcbyq.com/
"Jiangsu Jianlong Electrical Co., Ltd.",jeff@jlbox.com.cn,0086 2160930108,China,https://www.connotec.com/en
"Jiangsu Reliable Industry Co., Ltd",williamwang@rlbcable.com,"0086 519 86371322,86576650",China,https://www.rlbcable.com/
"Jiangsu Seraphim Solar System Co., Ltd",info@seraphim-energy.com,0086 51968788166,China,https://www.seraphim-energy.com/
"Jiangxi Jingjiu Power Science & Technology Co., Ltd.",lynncheng@kijo.com.cn,+86 15879049130,China,
"Jiangxi Tengyue Trading Co.,Ltd.",rosejiang@jxhongte.com,+86 7947881029,China,https://en.jxtengde.com/
"Jiaxing Token Building Material Tech Co.,Ltd.",mark@tkgchina.com,0086 573 82879258,China,https://www.tkgchina.com/
JOBASI S.A.,jobasi@jobasi-sa.com,+351253 250 850,Portugal,https://jobasi-sa.com/en/
"Johsun Tec Electrical Group Co.,Ltd",johnson_wu@johsun.com,0086 18457760985,China,
"JOONGWON Co., Ltd.",shpark@joongwon.co.kr,+82 3 1481 0327,"Korea, Republic of",https://www.joongwon.co.kr/
JST TRANSFORMERS,emmanuel.vuittenez@jst-transformers.com,+33(0)478777963,France,
Jubaili Bros,jbdubai@jubailibros.com,00971 48832023,United Arab Emirates,https://www.jubailibros.com/
"Jubang Group Co., Ltd.",jubanggroup@163.com,+8613968737027,China,http://www.mccb.cn/
"JYC Battery Manufacturer Co., Ltd",sales@jycbattery.com,+86 186 7629 0933,China,https://www.jycbattery.com/
K.S. Terminals Inc.,exp@ksterminals.com.tw,+886 4758 2765,"Taiwan, China",https://www.ksterminals.com.tw/
KABKOM CABLE COMPOUNDS,fkahraman@kabkom.com.tr,0090 2167714025,Turkiye,https://www.kabkom.com.tr/
"Kaer Technology Co.,Ltd.",sale@chaer-china.com,,Zhejiang Province,
Kam Tech Solar Power Products Pvt. Ltd.,shakibkamtech@gmail.com,+91 9411505208,Roorkee,
Kappa Electricals/kappa Exports,mira@kappaelectricals.com,,India,
Karta Purkh Battery Industries,gurjeet@interlight.co.in,0091 1835031500,India,
Katko Oy,janne.hyrylainen@katko.com,00358 984960800,Finland,https://www.katko.com/
KBR Kompensationsanlagenbau GmbH,claus.czech@kbr.de,0049 91226373116,Germany,https://www.kbr.de/
"Kehua Data Co., Ltd",jon.zhang@kehua.com,0086 5925165883,China,https://www.kehua.com/
Kehui International Ltd.,diane.kibart@kehui.com,0044 1920 358990,United Kingdom,https://www.kehui.com/contact/
Kempston Control LLC,mohammad.ajaz@kempstoncontrols.com,042987111,United Arab Emirates,https://www.kempstoncontrols.ae/
Khereiji Showrooms Co. Ltd,m.emara@ksc.com.sa,00966 112428324,Saudi Arabia,https://www.ksc.com.sa/
Kingsine Electric Automation Co Ltd,derek@kingsine.com.cn,0086 75588352607,China,https://www.kingsine.com.cn/
"Kingsun Optoelectronic Co., LTD.",hailey_leung@kingsun-china.com,+86 0769 8339 5678,China,https://www.kingsunlights.com/
"KIWA sk, s.r.o.",sidun@kiwa.sk,00421 911971401,Slovakia,
Klauke,damir.simunac@emerson.com,,United States,
KME ITALY SpA,mic@kme.com,+39 05837011,Italy,https://www.kme.com/
Kodlife Group,info@kodlife.com.tr,0212 623 2606,Turkiye,https://www.kodlife.com.tr/
KÖHL POWER DISTRIBUTION SYSTEMS,sales@koehl-sarl.eu,+352 719971 0,Germany,https://www.koehl-sarl.eu/
KONCAR Group,darija.miklenic@koncar.hr,+00385 1 3655555,Croatia,https://www.koncar.com/
Kostad Steuerungsbau GmbH,gkj@kostad.at,+43 225472268-0,Austria,
KPB Intra,info@kpbintra.cz,420515200330,Czech Republic,
KPB INTRA s.r.o.,info@kpbintra.cz,00420 515200330,Czech Republic,https://www.kpbintra.com/
KPB Intra S.r.o.,info@kpbintra.cz,+420 602411734,Czech Republic,
KPS,cs.emea@mgl-intl.com,+34 985 08 18 70,Spain,https://kps-intl.com/
Kraus & Naimer Pte Ltd,eric.ng@krausnaimer.com,+65 6 473 8166,Singapore,https://www.krausnaimer.sg/
Krempel Gmbh,n.muehleisen@krempel-group.com,0049 70429150,Germany,https://www.krempel.com/
Kries-Energietechnik GmbH & Co. KG,t.kubach@kries.com,0049 715196932145,Germany,https://kries.com/
KRITIKA WIRES LTD,sales@kritikawires.com,+91 8582805552,India,
KSE Electricals DMCC,maltesh@kse.in,+971 4 420 6905,United Arab Emirates,https://www.kse.in/
Kubota Corporation,rahn.koyacreagen@kubota.com,0081 6 66482139,Japan,https://www.kubota.com/
Kurkcuoglu Jenerator Sanayi ve Ticaret A.S,erdem.baskok@kj.com.tr,0090 2163789707,Turkiye,https://www.kj.com.tr/
Kuube Hungary Ltd.,mate@kuube.hu,+36703896028,Hungary,
Kym Kablo San. Ve Tic. A.S.,export@kymkablo.com,+90 216 394 2301,Turkiye,https://www.kymkablo.com/
L.S. Power Control Pvt. Ltd,rahul.sawhney@laempresaindia.com,,India,
"L&R Electric Group Co.,Ltd.",cici@lrelectric.cn,+86 18167383232,China,http://www.lrelectric.cn/
"Labelec - Estudos, Desenvolvimento E Actividades Laboratoriais, Sa",catarina.silva@edp.com,00351 219017232,Portugal,https://labelec.edp.com/en
LAE - LUGHESE ATTREZZATURE PER LÂELETTROMECCANICA S.R.L.,annamaria.giganti@lae-srl.com,0039 054526095,Italy,http://www.lae-srl.com/
Lapp Insulators GmbH,tzembsch@lappinsulators.com,0049 923250155,Germany,
Laser Power & Infra Private Ltd.,anish.kukreja@laserpowerinfra.com,+91 6292274159,India,
"Laurence Electric Power Co., Ltd.",85095777@qq.com,+86 138 6879 0379,China,http://www.laurence.group/
Lawson Fuses LImited,russell.small@lawsonfuses.com,00971 48129999,United Arab Emirates,
LAYER ELECTRONICS S.R.L.,layer@layer.it,+39 0923 562794,Italy,https://www.layer.it/
Leader Industries Private Limited,ib@leaderbattery.com,,India,
LEF Group,filippobaldini@lefgroup.com,+39 0554217727,Italy,https://www.lefgroup.com/
Legion Energy Products Pvt. Ltd,sales@legionenergy.com,0091 9741966700,India,http://www.legionenergy.in/
Legnano Teknoelectric Company Middle East Fzco,bruno.giannotti@ltc-group.com,00971 48163500,United Arab Emirates,https://www.ltc-group.com/
Lento Industries Pvt Ltd,govind@lentoindia.com,,India,
"Lifasa - International Capacitors, S.a.",bbensar@lifasa.com,+34935747017,Spain,
"Liling Dongfang Electroceramic Co.,Ltd.",china@eastceramic.com,+86 73123029198,China,https://www.east-ceramic.com/
Limatech,florence.robin@limatech-france.com,+33689889182,France,
Linz Electric SpA,info@linzelectric.com,+39 045 763 9201,Italy,https://www.linzelectric.com/
"Lister Petter Co., Limited",mavis@tpshk.com,,China,
"Lister Petter Co., Limited",mavisli@listerpetter.com,,"Hong Kong, S.A.R., China",
Lithium Power,DEEPAK@LETHIUMPOWER.COM,+91 9582807341,India,https://www.lethiumpower.com/
Livguard Batteries Pvt Ltd,shayan.mukherjee@sar-group.com,0091 1244987499,India,https://www.livguard.com/
Lloyd Dynamowerke GmbH,rubach@ldw.de,0049 4214589237,Germany,https://www.ldw.de/
"Longsper Insulation Technology (Tianjin) Co., Ltd",zlltpyg@hotmail.com,+86 2227314832,China,https://www.encgroupltd.com/
LORUNSER Austria GmbH,KahKah@Loruenser.org,0043 5524 8291447,Austria,https://www.loruenser-substations.com/
Lorunser Austria Gmbh,kahkah@loruenser.org,+43 55248291447,Austria,
Lovato Electric Spa,alessandro.maffeis@lovatoelectric.com,0039 354282357,Italy,https://www.lovatoelectric.com/
LPCB,ed.gaynor@bregroup.com,+44 3333218811,United Kingdom,https://bregroup.com/products/lpcb/
Lucy Middle East FZE,fatima.lazreug@lucyelectric.com,00971 48129999,United Arab Emirates,http://www.lucyelectric.com/
Lumec Energy General Trading Fzco,osakabattery.india@gmail.com,+91 9837022977,United Arab Emirates,https://osakabatteries.com/
Luminous Power Technologies FZE,ashish.pareek@luminous-global.com,+971564152595,United Arab Emirates,https://www.luminous-global.com/
"Luoyang Kunyao Metal Material Co., Ltd",zhengguo.chen@kunyaocn.com,0086 37968626570,China,https://www.kunyaocn.cn/
LUXLIGHTING,h.chaina@marcont.ma,,Morocco,
MAC Ltd,c.oreilly@mac.ie,+353 61 334699,Germany,
Made,m.reverdy@made-sa.com,,France,
Madem Gulf Industries WLL,adel@mademgulf.com,00973 17832221,Bahrain,http://www.mademreels.com/pt/
Magnetic Control Factory,sales@magneticcontrol.com,+966 505211107,Saudi Arabia,https://www.magneticcontrol.com/
Mangal Electrical Industries Pvt Ltd,crgo.export@mangals.com,0091 9057100200,India,
MANUMAG S.L.,export@manumag.com,+34 976 140 606,Spain,https://www.manumag.com/
Many Folk Enterprises Limited,gaily@manyfolk.com.hk,+852 2381 4219,"Hong Kong, S.A.R., China",http://www.manyfolk.com/companyprofile.html
MARCONT STRUCTURES,a.laghlimi@marcont.ma,,Morocco,
MARECHAL ELECTRIC,l.charlot@marechal.com,+971 43621418,France,https://www.marechal.com/marechal/en
Marel D.o.o.,marelmajavucetic@gmail.com,00381 373566266,Serbia,https://marel.rs/index.php/home-eng
Marshall-Tufflex Ltd,ronnief@marshall-tufflex.com,+44 1424 856600,United Kingdom,https://www.marshall-tufflex.com/
Marshall-Tufflex Ltd,ronnief@marshall-tufflex.com,+44 1424 856616,United Kingdom,
Mas Plastik Otomotiv Ithalat Ihracat San. Tic. Ltd. Sti.,zafer.polat@masplastiktr.com,05393080071,Turkiye,https://masplastiktr.com/
Maschinenfabrik Reinhausen GmbH,info@reinhausen.com,0049 94140900,Germany,https://www.reinhausen.com/en/DesktopDefault.aspx/tabid-11/
MasterGrid,benoit.dt@mastergrid.com,+33 619350985,France,https://www.mastergrid.com/
